"Word","Freq","Year"
"사회",297,1990
"정부",239,1990
"국민",209,1990
"지원",193,1990
"서울",179,1990
"기업",167,1990
"문제",156,1990
"사람",143,1990
"사업",132,1990
"경제",127,1990
"고용",123,1990
"생활",116,1990
"교육",114,1990
"마련",113,1990
"정치",113,1990
"자신",111,1990
"공제",110,1990
"장애",106,1990
"근로자",105,1990
"설치",102,1990
"지원",235,1991
"정부",213,1991
"서울",210,1991
"사회",192,1991
"사업",190,1991
"교육",175,1991
"고용",173,1991
"확대",169,1991
"사랑",161,1991
"국민",152,1991
"후보",149,1991
"문제",130,1991
"마련",129,1991
"추진",129,1991
"실시",127,1991
"시설",122,1991
"자신",121,1991
"사람",120,1991
"후보",1550,1992
"사회",808,1992
"서울",639,1992
"국민",612,1992
"유세",592,1992
"사람",587,1992
"교육",566,1992
"자당",554,1992
"민주",534,1992
"지원",503,1992
"정부",492,1992
"문제",464,1992
"확대",460,1992
"경제",446,1992
"자신",446,1992
"정치",443,1992
"시설",404,1992
"지역",391,1992
"대표",387,1992
"설치",382,1992
"교육",779,1993
"사회",551,1993
"서울",500,1993
"사람",496,1993
"문제",480,1993
"정부",478,1993
"행사",439,1993
"마련",385,1993
"지원",375,1993
"특수",369,1993
"한국",362,1993
"설치",357,1993
"시설",355,1993
"교회",349,1993
"사랑",343,1993
"국민",342,1993
"자신",340,1993
"개발",315,1993
"장애",299,1993
"일반",297,1993
"교육",784,1994
"사회",720,1994
"사람",561,1994
"서울",517,1994
"가정",500,1994
"교회",479,1994
"문제",473,1994
"정부",437,1994
"지원",432,1994
"사랑",427,1994
"가족",348,1994
"생활",345,1994
"마련",343,1994
"대학",341,1994
"사업",341,1994
"시설",341,1994
"공제",340,1994
"자신",335,1994
"장애",326,1994
"학교",324,1994
"사회",1004,1995
"교육",903,1995
"대학",886,1995
"서울",822,1995
"사람",710,1995
"지원",703,1995
"여성",692,1995
"학생",660,1995
"문제",649,1995
"정부",617,1995
"후보",605,1995
"노인",540,1995
"학교",519,1995
"교회",509,1995
"세계",497,1995
"시설",494,1995
"마련",462,1995
"대상",458,1995
"사랑",453,1995
"생활",449,1995
"교육",1477,1996
"사회",1275,1996
"서울",1109,1996
"사람",1064,1996
"국민",1014,1996
"의원",987,1996
"지원",923,1996
"학교",886,1996
"문제",837,1996
"후보",819,1996
"정부",809,1996
"설치",783,1996
"시설",743,1996
"생활",699,1996
"장애",697,1996
"사랑",668,1996
"회의",649,1996
"대학",644,1996
"노인",643,1996
"확대",642,1996
"사람",1074,1997
"사회",979,1997
"서울",882,1997
"교육",793,1997
"문제",703,1997
"학교",670,1997
"지원",659,1997
"국민",643,1997
"후보",618,1997
"사랑",587,1997
"교회",586,1997
"대학",574,1997
"시설",525,1997
"생각",497,1997
"정부",495,1997
"경제",469,1997
"여성",463,1997
"마련",462,1997
"자신",450,1997
"사업",449,1997
"사람",764,1998
"사회",710,1998
"서울",659,1998
"교육",640,1998
"지원",622,1998
"사업",580,1998
"학교",554,1998
"국민",524,1998
"사랑",510,1998
"학생",485,1998
"정부",442,1998
"문제",407,1998
"여성",394,1998
"마련",392,1998
"대상",389,1998
"생각",383,1998
"생활",369,1998
"시설",365,1998
"자신",344,1998
"대학",326,1998
"사람",1414,1999
"사회",1275,1999
"지원",985,1999
"서울",875,1999
"교육",871,1999
"여성",848,1999
"사랑",807,1999
"문제",775,1999
"학교",737,1999
"생활",703,1999
"교회",702,1999
"학생",701,1999
"생각",693,1999
"자신",686,1999
"사업",670,1999
"장애",633,1999
"방송",628,1999
"시설",599,1999
"정부",592,1999
"활동",590,1999
"사회",1509,2000
"사람",1412,2000
"교육",1306,2000
"서울",1293,2000
"지원",1121,2000
"여성",986,2000
"학교",960,2000
"문제",947,2000
"정부",936,2000
"장애",930,2000
"시설",905,2000
"생활",885,2000
"사랑",881,2000
"생각",831,2000
"설치",828,2000
"마련",822,2000
"대상",818,2000
"노인",806,2000
"자신",790,2000
"교회",741,2000
"사람",1632,2001
"사회",1543,2001
"서울",1406,2001
"교육",1330,2001
"장애",1262,2001
"사랑",1166,2001
"학교",1015,2001
"지원",985,2001
"교회",955,2001
"자신",940,2001
"학생",929,2001
"여성",914,2001
"문제",903,2001
"생활",852,2001
"생각",830,2001
"한국",794,2001
"미국",778,2001
"정부",776,2001
"시설",774,2001
"휠체어",746,2001
"후보",2576,2002
"사회",2318,2002
"사람",2075,2002
"서울",2038,2002
"교육",1647,2002
"지원",1632,2002
"문제",1435,2002
"장애",1423,2002
"교회",1377,2002
"여성",1336,2002
"사랑",1275,2002
"생각",1213,2002
"시설",1190,2002
"자신",1177,2002
"학생",1093,2002
"생활",1083,2002
"한국",1077,2002
"학교",1067,2002
"노인",1043,2002
"대학",1010,2002
"사회",2443,2003
"사람",2037,2003
"서울",1893,2003
"교회",1809,2003
"교육",1631,2003
"지원",1490,2003
"장애",1486,2003
"사랑",1359,2003
"문제",1293,2003
"여성",1243,2003
"생각",1206,2003
"정부",1200,2003
"생활",1184,2003
"학교",1153,2003
"자신",1105,2003
"가족",1046,2003
"시작",1034,2003
"시설",988,2003
"한국",985,2003
"대상",980,2003
"사회",3131,2004
"사람",2896,2004
"서울",2354,2004
"지원",2136,2004
"여성",2128,2004
"교육",1992,2004
"교회",1774,2004
"장애",1697,2004
"문제",1652,2004
"생각",1626,2004
"학교",1491,2004
"사랑",1486,2004
"생활",1423,2004
"활동",1405,2004
"자신",1349,2004
"시작",1345,2004
"가족",1324,2004
"정부",1307,2004
"한국",1270,2004
"대상",1218,2004
"사회",3418,2005
"사람",2723,2005
"지원",2532,2005
"서울",2325,2005
"교육",2226,2005
"장애",2034,2005
"문제",1774,2005
"사랑",1774,2005
"학교",1657,2005
"활동",1633,2005
"여성",1559,2005
"시설",1555,2005
"사업",1552,2005
"한국",1528,2005
"생각",1502,2005
"학생",1485,2005
"자신",1435,2005
"교수",1406,2005
"가족",1391,2005
"정부",1362,2005
"사회",3194,2006
"지원",2473,2006
"사람",2225,2006
"교육",2023,2006
"서울",1942,2006
"장애",1889,2006
"한국",1744,2006
"활동",1644,2006
"정부",1500,2006
"사업",1477,2006
"문제",1426,2006
"사랑",1404,2006
"생활",1358,2006
"학교",1305,2006
"생각",1298,2006
"노인",1272,2006
"대상",1272,2006
"여성",1263,2006
"문화",1252,2006
"이용",1235,2006
"사회",3422,2007
"지원",2457,2007
"사람",2228,2007
"교육",1880,2007
"한국",1744,2007
"서울",1734,2007
"활동",1635,2007
"문제",1585,2007
"장애",1541,2007
"사업",1487,2007
"후보",1415,2007
"기업",1307,2007
"정부",1303,2007
"이용",1271,2007
"대상",1234,2007
"생각",1204,2007
"생활",1192,2007
"서비스",1175,2007
"노인",1174,2007
"학교",1157,2007
"사회",4719,2008
"지원",3709,2008
"사람",3135,2008
"교육",2916,2008
"정부",2615,2008
"한국",2563,2008
"서울",2557,2008
"장애",2446,2008
"활동",2149,2008
"문제",2056,2008
"사업",1986,2008
"여성",1939,2008
"대상",1912,2008
"생활",1853,2008
"기업",1744,2008
"생각",1736,2008
"사랑",1676,2008
"학교",1648,2008
"시작",1622,2008
"운영",1610,2008
"사회",5580,2009
"지원",5127,2009
"사업",3469,2009
"사람",3324,2009
"서울",3080,2009
"교육",3025,2009
"정부",2815,2009
"장애",2617,2009
"생활",2495,2009
"활동",2476,2009
"기업",2406,2009
"대상",2332,2009
"지역",2303,2009
"한국",2232,2009
"문제",2182,2009
"사랑",2132,2009
"운영",2120,2009
"노인",2037,2009
"시설",2021,2009
"서비스",1973,2009
"사회",5319,2010
"지원",4778,2010
"사업",3326,2010
"서울",3290,2010
"사람",3069,2010
"교육",2816,2010
"정부",2676,2010
"장애",2641,2010
"한국",2577,2010
"활동",2436,2010
"기업",2282,2010
"문제",2245,2010
"지역",2205,2010
"생활",2182,2010
"대상",2059,2010
"운영",2022,2010
"인권",2021,2010
"생각",2012,2010
"복지",1992,2010
"예산",1941,2010
"사회",6079,2011
"지원",5251,2011
"사람",3844,2011
"서울",3438,2011
"학교",3176,2011
"교육",2967,2011
"사업",2925,2011
"활동",2715,2011
"장애",2662,2011
"문제",2616,2011
"복지",2583,2011
"대상",2485,2011
"생각",2436,2011
"영화",2409,2011
"시설",2354,2011
"생활",2303,2011
"운영",2259,2011
"기업",2246,2011
"한국",2207,2011
"학생",2175,2011
"지원",5537,2012
"사회",5230,2012
"서울",3900,2012
"사람",3763,2012
"후보",3213,2012
"사업",3066,2012
"활동",3014,2012
"장애",2829,2012
"문제",2703,2012
"교육",2679,2012
"여성",2621,2012
"한국",2587,2012
"생각",2488,2012
"정부",2353,2012
"생활",2329,2012
"대상",2173,2012
"운영",2145,2012
"지역",2124,2012
"학교",2113,2012
"시설",2103,2012
"사회",6171,2013
"지원",6013,2013
"사람",3927,2013
"서울",3670,2013
"사업",3376,2013
"정부",3062,2013
"활동",2926,2013
"교육",2915,2013
"장애",2865,2013
"대상",2857,2013
"한국",2698,2013
"기업",2672,2013
"여성",2654,2013
"운영",2654,2013
"문제",2631,2013
"복지",2365,2013
"지역",2340,2013
"생활",2335,2013
"시설",2275,2013
"생각",2224,2013
"사회",5337,2014
"지원",5245,2014
"서울",3473,2014
"사람",3420,2014
"교육",3301,2014
"한국",3256,2014
"활동",3040,2014
"장애",2876,2014
"사업",2764,2014
"시설",2686,2014
"운영",2519,2014
"대상",2489,2014
"정부",2429,2014
"지역",2295,2014
"생활",2294,2014
"문제",2246,2014
"시작",2121,2014
"학교",2077,2014
"대표",2038,2014
"센터",2030,2014
"지원",6134,2015
"사회",5509,2015
"사람",4009,2015
"서울",3977,2015
"사업",3669,2015
"교육",3331,2015
"활동",3184,2015
"한국",3046,2015
"장애",2969,2015
"대상",2731,2015
"지역",2716,2015
"정부",2681,2015
"대표",2655,2015
"문제",2450,2015
"운영",2362,2015
"여성",2339,2015
"시작",2255,2015
"생각",2226,2015
"시설",2226,2015
"기업",2164,2015
"지원",5896,2016
"사회",5785,2016
"서울",3870,2016
"사람",3784,2016
"여성",3690,2016
"사업",3546,2016
"교육",3233,2016
"한국",3199,2016
"활동",2897,2016
"지역",2888,2016
"대표",2705,2016
"문제",2647,2016
"운영",2640,2016
"국민",2607,2016
"장애",2605,2016
"시설",2588,2016
"경찰",2530,2016
"대상",2470,2016
"센터",2440,2016
"정부",2434,2016
"지원",8251,2017
"사회",7357,2017
"교육",4936,2017
"사람",4505,2017
"서울",4392,2017
"사업",4289,2017
"학교",4165,2017
"장애",4124,2017
"정부",3951,2017
"활동",3657,2017
"한국",3644,2017
"국민",3500,2017
"문제",3283,2017
"여성",3260,2017
"시설",3215,2017
"운영",3080,2017
"대상",3021,2017
"지역",3020,2017
"센터",2984,2017
"후보",2898,2017
"지원",6634,2018
"사회",6118,2018
"사람",3947,2018
"한국",3815,2018
"장애",3710,2018
"서울",3691,2018
"교육",3530,2018
"사업",3493,2018
"활동",3083,2018
"정부",3040,2018
"여성",3017,2018
"시설",2814,2018
"지역",2740,2018
"학교",2682,2018
"문제",2668,2018
"센터",2581,2018
"대상",2561,2018
"운영",2527,2018
"생각",2445,2018
"시민",2379,2018
